Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	India	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Indonesia	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Bangladesh	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Vietnam	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Thailand	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Myanmar	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Malaysia	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Australia	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Sri Lanka	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Cambodia	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Guinea	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Papua New Guinea	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Singapore	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	Solomon Islands	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	Indonesia	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	Vietnam	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	Thailand	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	Malaysia	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	Cambodia	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	Guinea	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	Singapore	No	No
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Guinea	No	No
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Papua New Guinea	No	No
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Georgia	No	No
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	Solomon Islands	No	No
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Guinea	No	No
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Papua New Guinea	No	No
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	Solomon Islands	No	No
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Guinea	No	No
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Papua New Guinea	No	No
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		Solomon Islands	No	No
Acutotyphlops subocularis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	subocularis	WAITE	1897	Bismarck sharp-nosed blindsnake	Ireland	No	No
Adelophis copei	Natricidae, Colubroidea, Serpentes (snakes)	Adelophis	copei	DUGS	1879	Cope's Mountain Meadow Snake	Mexico	No	No
Adelophis foxi	Natricidae, Colubroidea, Serpentes (snakes)	Adelophis	foxi	ROSSMAN & BLANEY	1968	Fox's Mountain Meadow Snake	Mexico	No	No
Adelphicos daryi	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	daryi	CAMPBELL & FORD	1982	Dary's Burrowing Snake	Guatemala	No	No
Adelphicos ibarrorum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	ibarrorum	CAMPBELL & BRODIE	1988		Guatemala	No	No
